number,locationid,BEATid,ZONEid,dateid,crimeid_x,count_crime_type
102950952,521,2,2,10,7,1
102950954,139,25,4,10,3,1
102950960,522,48,4,10,3,1
102950975,523,44,2,10,4,1
102950980,524,28,5,10,1,1
102950996,525,10,2,10,8,1
102951043,526,22,5,10,1,1
102951067,527,2,2,10,7,1
102951082,528,7,5,10,8,1
102951121,529,13,6,10,1,1
102951127,530,32,3,10,3,1
102951152,531,48,4,10,2,1
102951188,532,42,2,10,7,1
102951219,318,6,3,10,3,1
102951259,533,66,1,10,7,1
102951268,534,64,3,10,2,1
102951271,535,6,3,10,3,1
102951294,536,36,2,10,4,1
102951333,537,2,2,10,3,1
102951359,538,60,6,10,3,1
102951378,539,60,6,10,8,1
102951410,540,11,3,10,3,1
102951414,541,3,3,10,7,1
102951432,542,28,5,10,5,1
102951449,543,37,5,10,5,1
102951492,544,6,3,10,2,1
102951496,545,24,3,10,2,1
102951514,543,37,5,10,7,1
102951681,546,54,3,10,3,1
102951690,547,49,2,10,7,1
102951773,548,11,3,10,7,1
102951826,549,39,5,10,1,1
102951841,550,67,1,10,7,1
102951929,551,68,6,10,2,1
102951948,41,29,6,10,3,1
102951981,552,5,4,10,5,1
102951997,553,39,5,10,5,1
102952001,147,12,3,10,3,1
102952007,554,3,3,10,2,1
102952085,555,30,4,10,2,1
102952164,556,32,3,10,2,1
102952165,380,5,4,10,1,1
102952204,47,33,2,10,2,1
102952250,331,43,4,10,2,1
102952278,557,44,2,10,1,1
102952283,558,3,3,10,1,1
102952324,266,29,6,10,2,1
102952382,559,54,3,10,2,1
102952465,560,1,1,10,4,1
102940021,561,59,1,11,4,1
102940091,108,49,2,11,1,1
102940177,183,48,4,11,1,1
102940231,425,60,6,11,8,1
102940280,562,24,3,11,4,1
102940281,563,48,4,11,2,1
102940306,564,27,4,11,2,1
102940316,565,48,4,11,2,1
102940318,566,13,6,11,11,1
102940359,567,9,4,11,2,1
102940445,568,33,2,11,5,1
102940485,569,36,2,11,1,1
102940514,570,59,1,11,8,1
102940536,571,38,5,11,7,1
102940538,572,8,6,11,1,1
102940610,573,49,2,11,1,1
102940639,574,53,5,11,8,1
102940669,139,25,4,11,3,1
102940677,575,5,4,11,3,1
102940813,576,33,2,11,7,1
102940854,577,55,2,11,7,1
102940860,441,10,2,11,7,1
102940918,578,8,6,11,2,1
102940961,579,17,1,11,7,1
102940973,580,49,2,11,2,1
102940981,581,13,6,11,2,1
102941051,582,33,2,11,3,1
102941064,583,51,3,11,2,1
102941066,584,42,2,11,1,1
102941078,585,16,2,11,7,1
102941080,586,43,4,11,2,1
102941096,587,34,2,11,7,1
102941098,588,25,4,11,3,1
102941107,589,21,6,11,2,1
102941110,590,22,5,11,7,1
102941176,591,44,2,11,7,1
102941282,592,61,3,11,2,1
102941310,593,10,2,11,3,1
102941332,594,14,4,11,2,1
102941340,595,3,3,11,2,1
102941408,596,57,1,11,3,1
102941426,597,29,6,11,7,1
102941497,598,36,2,11,7,1
102941770,599,26,4,11,3,1
102941805,600,58,2,11,7,1
102941827,601,32,3,11,3,1
102941836,602,12,3,11,7,1
102941867,603,12,3,11,7,1
102941900,604,62,2,11,5,1
102941904,605,25,4,11,3,1
102941979,606,2,2,11,7,1
102942010,607,40,4,11,2,1
102942027,608,48,4,11,2,1
102942162,232,37,5,11,11,1
102942212,380,5,4,11,2,1
102942254,609,40,4,11,1,1
102942264,610,24,3,11,3,1
102942404,611,34,2,11,5,1
102942418,612,45,4,11,4,1
102942423,613,45,4,11,4,1
102942437,614,13,6,11,2,1
102942441,615,14,4,11,2,1
102942468,616,48,4,11,2,1
102942504,506,9,4,11,2,1
102942586,84,45,4,11,2,1
102932722,617,48,4,11,2,1
102931388,618,62,2,11,5,1
102931390,619,48,4,12,2,1
102931393,620,59,1,12,3,1
102931469,621,33,2,12,7,1
102931480,372,38,5,12,7,1
102931495,622,47,5,12,2,1
102931507,623,25,4,12,3,1
102931508,624,13,6,12,1,1
102931531,625,30,4,12,3,1
102931545,626,37,5,12,5,1
102931599,369,60,6,12,2,1
102931644,627,35,1,12,3,1
102931698,628,26,4,12,2,1
102931702,339,4,1,12,7,1
102931713,629,54,3,12,7,1
102931749,41,29,6,12,3,1
102931896,630,2,2,12,7,1
102931992,631,35,1,12,7,1
102932004,632,47,5,12,3,1
102932021,617,48,4,12,2,1
102932024,633,25,4,12,2,1
102932045,634,54,3,12,7,1
102932057,635,6,3,12,7,1
102932099,636,18,3,12,5,1
102932214,40,1,1,12,1,1
102932243,637,26,4,12,2,1
102932267,638,48,4,12,2,1
102932309,639,36,2,12,2,1
102932368,640,36,2,12,7,1
102932369,641,10,2,12,5,1
102932423,642,12,3,12,4,1
102932426,41,29,6,12,3,1
102921513,266,29,6,12,11,1
102930026,643,11,3,12,2,1
102930041,644,37,5,12,4,1
102930299,645,42,2,12,1,1
102930315,646,6,3,12,4,1
102930365,69,9,4,12,5,1
102930403,647,4,1,12,8,1
102930430,648,40,4,12,4,1
102930492,649,1,1,12,8,1
102930537,650,60,6,12,2,1
102930601,283,9,4,12,2,1
102930603,651,14,4,12,2,1
102930619,652,27,4,12,2,1
102930765,653,32,3,12,2,1
102930793,102,9,4,12,2,1
102930823,654,1,1,12,3,1
102930834,655,50,3,12,1,1
102930851,321,49,2,12,5,1
102930886,656,39,5,12,11,1
102930904,657,41,6,12,5,1
102930907,658,37,5,12,2,1
102930917,659,60,6,12,8,1
102931019,660,49,2,12,3,1
102931045,249,9,4,12,2,1
102931069,661,43,4,12,2,1
102931091,662,48,4,12,3,1
102931282,663,60,6,12,5,1
102931284,664,37,5,12,2,1
102931314,665,43,4,12,4,1
102931320,666,52,5,12,1,1
102931326,667,40,4,12,3,1
102931368,668,13,6,12,2,1
102932427,669,27,4,12,4,1
102932445,670,26,4,12,4,1
102932498,671,37,5,12,4,1
102932525,672,26,4,12,2,1
102932550,380,5,4,12,2,1
102932599,673,60,6,12,2,1
102932618,674,9,4,12,2,1
102932634,675,35,1,12,5,1
102932645,676,63,5,12,5,1
102932656,677,51,3,12,4,1
102932695,224,58,2,12,7,1
102920021,678,9,4,13,2,1
102920022,679,60,6,13,5,1
102920085,680,61,3,13,5,1
102920162,681,26,4,13,2,1
102920297,682,48,4,13,2,1
102920313,683,7,5,13,7,1
102920390,684,3,3,13,2,1
102920399,685,58,2,13,2,1
102920458,89,43,4,13,2,1
102920576,686,64,3,13,1,1
102920582,687,50,3,13,2,1
102920620,688,33,2,13,1,1
102920650,156,52,5,13,1,1
102920768,689,18,3,13,3,1
102920907,690,5,4,13,3,1
102920947,691,28,5,13,3,1
102920958,692,59,1,13,7,1
102921031,693,54,3,13,3,1
102921035,53,35,1,13,3,1
102921070,694,1,1,13,1,1
102921081,695,27,4,13,5,1
102921135,696,40,4,13,3,1
102921153,697,10,2,13,7,1
102921258,53,35,1,13,3,1
102921287,698,33,2,13,7,1
102921326,699,21,6,13,2,1
102921401,700,55,2,13,5,1
102921405,701,28,5,13,3,1
102921412,702,26,4,13,3,1
102921418,703,12,3,13,3,1
102921480,704,9,4,13,2,1
102921517,705,12,3,13,3,1
